time,open,high,low,close,tick_volume,spread,real_volume
2020-09-18 22:00:00,123.927,124.006,123.904,123.945,1514,0,0
2020-09-18 23:00:00,123.945,123.958,123.811,123.82,964,2,0
2020-09-21 00:00:00,123.825,123.878,123.757,123.791,621,35,0
2020-09-21 01:00:00,123.791,123.842,123.671,123.817,1520,1,0
2020-09-21 02:00:00,123.819,123.85,123.791,123.826,974,1,0
2020-09-21 03:00:00,123.827,123.938,123.821,123.867,1385,1,0
2020-09-21 04:00:00,123.867,123.883,123.732,123.74,1549,1,0
2020-09-21 05:00:00,123.739,123.806,123.719,123.724,1286,1,0
2020-09-21 06:00:00,123.724,123.774,123.682,123.753,1265,1,0
2020-09-21 07:00:00,123.755,123.831,123.754,123.759,779,1,0
2020-09-21 08:00:00,123.76,123.829,123.746,123.768,936,1,0
2020-09-21 09:00:00,123.768,123.805,123.663,123.704,1843,1,0
2020-09-21 10:00:00,123.704,123.761,123.202,123.291,4643,0,0
2020-09-21 11:00:00,123.289,123.296,122.729,122.872,5025,0,0
2020-09-21 12:00:00,122.872,122.986,122.61,122.745,3547,0,0
2020-09-21 13:00:00,122.745,122.802,122.587,122.638,2992,0,0
2020-09-21 14:00:00,122.635,122.806,122.562,122.785,3025,1,0
2020-09-21 15:00:00,122.786,122.786,122.514,122.599,3593,1,0
2020-09-21 16:00:00,122.596,123.416,122.556,122.899,6901,0,0
2020-09-21 17:00:00,122.902,122.954,122.603,122.734,5282,0,0
2020-09-21 18:00:00,122.734,122.97,122.72,122.89,3581,1,0
2020-09-21 19:00:00,122.888,122.993,122.849,122.978,2177,1,0
2020-09-21 20:00:00,122.978,123.202,122.935,123.161,2028,1,0
2020-09-21 21:00:00,123.161,123.231,123.136,123.174,1507,1,0
2020-09-21 22:00:00,123.174,123.345,123.153,123.208,2249,0,0
2020-09-21 23:00:00,123.207,123.235,123.156,123.178,1000,1,0
2020-09-22 00:00:00,123.171,123.233,123.096,123.181,688,15,0
2020-09-22 01:00:00,123.169,123.223,123.123,123.15,883,1,0
2020-09-22 02:00:00,123.15,123.195,123.141,123.146,648,2,0
2020-09-22 03:00:00,123.146,123.273,123.115,123.157,1996,1,0
2020-09-22 04:00:00,123.157,123.159,122.849,122.959,2331,0,0
2020-09-22 05:00:00,122.958,122.967,122.885,122.944,1247,1,0
2020-09-22 06:00:00,122.944,123.091,122.933,123.016,1166,1,0
2020-09-22 07:00:00,123.014,123.023,122.962,123.023,956,2,0
2020-09-22 08:00:00,123.023,123.023,122.865,122.877,1139,1,0
2020-09-22 09:00:00,122.877,122.931,122.75,122.858,2832,1,0
2020-09-22 10:00:00,122.855,122.862,122.655,122.718,3650,0,0
2020-09-22 11:00:00,122.716,122.891,122.685,122.792,3447,1,0
2020-09-22 12:00:00,122.791,122.816,122.682,122.723,2391,1,0
2020-09-22 13:00:00,122.723,122.863,122.685,122.836,2786,0,0
2020-09-22 14:00:00,122.836,122.931,122.732,122.815,2414,1,0
2020-09-22 15:00:00,122.817,122.938,122.697,122.849,3317,1,0
2020-09-22 16:00:00,122.847,123.131,122.811,122.896,4483,0,0
2020-09-22 17:00:00,122.904,123.094,122.838,122.861,5277,0,0
2020-09-22 18:00:00,122.861,123.03,122.698,122.938,4567,0,0
2020-09-22 19:00:00,122.937,123.051,122.871,122.921,2405,1,0
2020-09-22 20:00:00,122.921,122.961,122.869,122.948,1625,2,0
2020-09-22 21:00:00,122.947,122.982,122.818,122.822,1314,1,0
2020-09-22 22:00:00,122.822,122.918,122.819,122.881,1261,1,0
2020-09-22 23:00:00,122.878,122.922,122.834,122.843,760,2,0
2020-09-23 00:00:00,122.842,122.897,122.777,122.826,3170,6,0
2020-09-23 01:00:00,122.828,122.942,122.793,122.876,935,3,0
2020-09-23 02:00:00,122.876,123.018,122.87,122.98,948,0,0
2020-09-23 03:00:00,122.98,123.023,122.759,122.773,2896,0,0
2020-09-23 04:00:00,122.773,122.969,122.763,122.948,2376,1,0
2020-09-23 05:00:00,122.948,122.958,122.67,122.746,1817,1,0
2020-09-23 06:00:00,122.746,122.796,122.705,122.779,1305,1,0
2020-09-23 07:00:00,122.779,122.779,122.656,122.703,1174,1,0
