time,open,high,low,close,tick_volume,spread,real_volume
2020-09-18 22:00:00,0.90999,0.91071,0.90998,0.91053,1295,3,0
2020-09-18 23:00:00,0.91053,0.9113,0.91047,0.91124,670,3,0
2020-09-21 00:00:00,0.91015,0.91103,0.90969,0.911,370,11,0
2020-09-21 01:00:00,0.911,0.91111,0.90992,0.91044,640,4,0
2020-09-21 02:00:00,0.91044,0.91116,0.91044,0.91104,478,3,0
2020-09-21 03:00:00,0.91106,0.91144,0.91022,0.91028,607,3,0
2020-09-21 04:00:00,0.91028,0.91066,0.91005,0.91044,765,3,0
2020-09-21 05:00:00,0.91045,0.9105,0.90991,0.91004,615,3,0
2020-09-21 06:00:00,0.91004,0.91016,0.90966,0.9098,427,3,0
2020-09-21 07:00:00,0.9098,0.90982,0.90951,0.90979,362,2,0
2020-09-21 08:00:00,0.90979,0.91025,0.90953,0.90999,636,3,0
2020-09-21 09:00:00,0.91003,0.91061,0.90984,0.91044,1352,2,0
2020-09-21 10:00:00,0.91044,0.91104,0.90866,0.91046,2819,0,0
2020-09-21 11:00:00,0.91046,0.91384,0.91045,0.91345,3069,2,0
2020-09-21 12:00:00,0.91345,0.91543,0.91345,0.91496,2341,0,0
2020-09-21 13:00:00,0.91496,0.91525,0.91341,0.91363,2061,0,0
2020-09-21 14:00:00,0.91363,0.91422,0.9125,0.91258,1862,0,0
2020-09-21 15:00:00,0.91258,0.91465,0.91233,0.91424,2141,1,0
2020-09-21 16:00:00,0.91424,0.91582,0.91332,0.9158,3920,0,0
2020-09-21 17:00:00,0.9158,0.9162,0.91469,0.91598,3506,2,0
2020-09-21 18:00:00,0.91597,0.91709,0.91555,0.91632,2201,0,0
2020-09-21 19:00:00,0.91632,0.9169,0.91593,0.91609,1513,2,0
2020-09-21 20:00:00,0.9161,0.91642,0.91508,0.91518,1191,2,0
2020-09-21 21:00:00,0.91519,0.9156,0.91501,0.91512,929,2,0
2020-09-21 22:00:00,0.91515,0.91517,0.91405,0.91492,1263,1,0
2020-09-21 23:00:00,0.91492,0.91509,0.91439,0.91443,540,3,0
2020-09-22 00:00:00,0.91443,0.9145,0.91357,0.91442,753,23,0
2020-09-22 01:00:00,0.91433,0.91506,0.91395,0.91497,341,4,0
2020-09-22 02:00:00,0.91496,0.91534,0.91488,0.91532,476,3,0
2020-09-22 03:00:00,0.91533,0.91603,0.91488,0.91499,1067,3,0
2020-09-22 04:00:00,0.91499,0.91584,0.91481,0.91515,1179,3,0
2020-09-22 05:00:00,0.91521,0.91535,0.91489,0.91491,643,3,0
2020-09-22 06:00:00,0.91491,0.91517,0.91442,0.91453,697,3,0
2020-09-22 07:00:00,0.91455,0.91463,0.91433,0.91441,443,3,0
2020-09-22 08:00:00,0.91439,0.91544,0.91438,0.91531,774,3,0
2020-09-22 09:00:00,0.91532,0.91627,0.91498,0.91583,1818,3,0
2020-09-22 10:00:00,0.91585,0.91732,0.91545,0.91697,2965,2,0
2020-09-22 11:00:00,0.91697,0.91718,0.91493,0.91538,2980,1,0
2020-09-22 12:00:00,0.91538,0.91696,0.91529,0.91643,2355,3,0
2020-09-22 13:00:00,0.91643,0.91657,0.91362,0.91451,2280,3,0
2020-09-22 14:00:00,0.91451,0.91531,0.91439,0.91508,1944,2,0
2020-09-22 15:00:00,0.91507,0.916,0.91481,0.91543,2338,3,0
2020-09-22 16:00:00,0.91543,0.91725,0.91468,0.91689,2802,0,0
2020-09-22 17:00:00,0.91691,0.91949,0.91673,0.91942,3226,0,0
2020-09-22 18:00:00,0.91942,0.92033,0.91846,0.91993,3031,0,0
2020-09-22 19:00:00,0.91994,0.92076,0.91938,0.92048,1898,2,0
2020-09-22 20:00:00,0.92048,0.92055,0.91959,0.9199,1542,1,0
2020-09-22 21:00:00,0.9199,0.92005,0.91955,0.91988,1021,3,0
2020-09-22 22:00:00,0.91988,0.92001,0.91923,0.91923,864,0,0
2020-09-22 23:00:00,0.91923,0.91988,0.9191,0.91972,560,3,0
2020-09-23 00:00:00,0.91983,0.91983,0.91889,0.9192,361,6,0
2020-09-23 01:00:00,0.91927,0.92014,0.91922,0.91997,579,3,0
2020-09-23 02:00:00,0.91996,0.92005,0.91962,0.92003,568,2,0
2020-09-23 03:00:00,0.92002,0.92161,0.91979,0.92114,1667,2,0
2020-09-23 04:00:00,0.92114,0.92182,0.92072,0.92088,1588,1,0
2020-09-23 05:00:00,0.92088,0.92149,0.92064,0.92118,1499,3,0
2020-09-23 06:00:00,0.92118,0.92148,0.92074,0.92105,1281,3,0
2020-09-23 07:00:00,0.92105,0.92162,0.92105,0.9213,960,3,0
2020-09-23 08:00:00,0.9213,0.92132,0.92081,0.9209,668,2,0
2020-09-23 09:00:00,0.92097,0.92225,0.9207,0.92081,2096,3,0
2020-09-23 10:00:00,0.9208,0.92145,0.91979,0.92002,2932,0,0
2020-09-23 11:00:00,0.92002,0.92102,0.91979,0.91993,1894,1,0
2020-09-23 12:00:00,0.91993,0.92008,0.91897,0.91919,1945,1,0
2020-09-23 13:00:00,0.91921,0.92047,0.91898,0.92043,1456,3,0
2020-09-23 14:00:00,0.92043,0.92137,0.91987,0.92137,1571,2,0
2020-09-23 15:00:00,0.92136,0.92161,0.9208,0.92114,2018,2,0
2020-09-23 16:00:00,0.92114,0.92236,0.92057,0.92234,3007,1,0
2020-09-23 17:00:00,0.92233,0.92427,0.92232,0.92364,3004,1,0
2020-09-23 18:00:00,0.92364,0.92377,0.92217,0.92323,2132,1,0
2020-09-23 19:00:00,0.92326,0.92352,0.92217,0.92268,1837,3,0
2020-09-23 20:00:00,0.92268,0.92337,0.92265,0.92321,1260,3,0
2020-09-23 21:00:00,0.92322,0.9243,0.92317,0.92415,1559,2,0
2020-09-23 22:00:00,0.92415,0.92433,0.92346,0.92353,1963,3,0
2020-09-23 23:00:00,0.92353,0.92398,0.92353,0.92376,643,2,0
2020-09-24 00:00:00,0.92384,0.92428,0.92307,0.9233,485,5,0
2020-09-24 01:00:00,0.9233,0.92428,0.92326,0.92407,583,3,0
2020-09-24 02:00:00,0.92397,0.92451,0.92391,0.92412,893,2,0
2020-09-24 03:00:00,0.92413,0.92413,0.92158,0.92214,1764,2,0
2020-09-24 04:00:00,0.92214,0.92265,0.92156,0.92263,1147,4,0
2020-09-24 05:00:00,0.92261,0.92304,0.92244,0.92288,1057,4,0
2020-09-24 06:00:00,0.92289,0.92323,0.9227,0.92306,722,3,0
2020-09-24 07:00:00,0.92307,0.92349,0.92296,0.92342,661,3,0
